Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_17312_i729_i522	2	48.61774771
SLX_14252_i707_i508	8	48.6615572
SLX_14252_i707_i504	6	48.82334212
SLX_17311_i723_i517	6	48.85177308
SLX_17311_i721_i520	6	48.85561776
SLX_14252_i709_i503	8	48.89622135
SLX_14259_i712_i502	6	48.89802726
SLX_14259_i719_i521	6	48.89844294
SLX_14259_i720_i521	6	48.9480984
SLX_17312_i711_i508	6	48.96890052
SLX_17311_i702_i505	6	49.01801573
SLX_14259_i727_i517	6	49.08541279
SLX_12100_i705_i503	8	49.37018009
SLX_12100_i709_i503	8	49.39924658
SLX_17313_i721_i521	8	49.56628864
SLX_14259_i702_i505	8	49.60336623
SLX_17313_i720_i521	8	49.68498932
SLX_12100_i706_i517	8	49.68501244
SLX_17311_i704_i507	2	49.9023471
SLX_12100_i705_i517	2	49.9319981
SLX_14259_i728_i521	6	51.24020984
SLX_17311_i706_i508	6	51.273314
SLX_14259_i714_i508	6	51.28690121
SLX_12100_i710_i508	8	51.33378868
SLX_14259_i722_i517	6	51.3829337
SLX_17312_i714_i508	6	51.39511325
SLX_12100_i712_i503	8	52.81707104
SLX_17313_i724_i513	8	52.82123089
SLX_17313_i712_i510	6	52.82125401
SLX_17312_i724_i516	8	52.82127712
SLX_14259_i723_i516	8	52.82130024
SLX_14259_i711_i503	8	52.82132336
SLX_12100_i706_i502	8	52.82134648
SLX_12100_i704_i517	8	52.8213696
SLX_12100_i704_i504	8	52.82139272
SLX_14259_i729_i518	6	52.83572373
SLX_14259_i712_i508	8	52.92413234
SLX_17313_i719_i513	6	53.01526449
SLX_12100_i706_i507	8	53.11332564
SLX_14259_i719_i513	8	53.11539189
SLX_14251_i712_i505	8	53.60119161
SLX_12100_i703_i505	8	53.61314228
SLX_17313_i716_i516	6	53.61734865
SLX_12100_i710_i505	8	53.65480723
SLX_14259_i727_i520	8	53.6560055
SLX_14259_i726_i522	8	53.75549444
SLX_17312_i724_i518	8	54.47118208
SLX_12100_i703_i506	8	54.52189408
SLX_14253_i706_i508	7	57.4912015
SLX_17313_i710_i506	8	57.49122462
SLX_14259_i702_i503	8	57.49124774
SLX_14255_i708_i504	7	57.51293224
SLX_17313_i727_i520	6	57.51780473
SLX_17313_i724_i522	6	57.5232038
SLX_14254_i705_i507	8	57.54796246
SLX_14254_i702_i508	8	57.58680856
SLX_14252_i711_i503	8	57.6047115
SLX_14253_i705_i508	8	57.67821571
SLX_14259_i712_i505	7	57.6854765
SLX_14255_i709_i507	7	57.69079632
SLX_14255_i712_i506	7	57.70225491
SLX_14251_i710_i508	7	57.77809649
SLX_14259_i722_i518	2	57.84490177
SLX_17312_i702_i505	6	58.47365524
SLX_14253_i706_i507	8	58.47656956
SLX_14252_i709_i502	7	58.48129884
SLX_14251_i710_i503	7	58.48688407
SLX_17312_i704_i510	7	58.49089643
SLX_14251_i711_i508	7	58.49121467
SLX_14253_i706_i502	7	59.16350902
SLX_14255_i708_i502	8	59.18102892
SLX_12100_i712_i502	7	59.22134752
SLX_14251_i712_i517	6	59.28081613
SLX_14253_i708_i517	7	59.28532659
SLX_14255_i705_i504	7	59.29251196
SLX_14252_i709_i508	7	59.35412381
SLX_14251_i710_i517	8	59.36240419
SLX_17312_i716_i516	7	60.85991361
SLX_12100_i708_i506	7	61.65428491
SLX_14251_i709_i504	7	61.67196136
SLX_14253_i706_i505	7	61.68112543
SLX_14255_i708_i517	7	61.69215101
SLX_14252_i712_i502	7	62.30425967
SLX_14255_i711_i517	7	62.31309484
SLX_14251_i712_i506	7	62.33815798
SLX_14254_i703_i506	7	62.33893056
