GeneID,BC1,BC2,BC3,,,,,
AT1G03495,0.0 ,0.0 ,0.3 ,,,,,
AT1G03502,0.0 ,0.0 ,0.0 ,,,,,
AT1G03506,0.0 ,0.0 ,0.0 ,,,,,
AT1G03510,0.1 ,0.0 ,0.1 ,,,,,
AT1G03515,0.0 ,0.0 ,0.0 ,,,,,
AT1G03520,0.0 ,0.0 ,0.0 ,,,,,
AT1G03530,55.1 ,46.0 ,45.4 ,,,,,
AT1G03540,0.0 ,0.0 ,0.0 ,,,,,
AT1G03545,0.0 ,0.0 ,0.1 ,,,,,
AT1G03550,2.8 ,1.8 ,3.1 ,,,,,
AT1G03560,20.3 ,15.6 ,16.3 ,,,,,
AT1G03570,0.0 ,0.0 ,0.0 ,,,,,
AT1G03590,1.4 ,1.1 ,1.6 ,,,,,
AT1G03600,9.2 ,14.5 ,8.4 ,,,,,
AT1G03610,77.1 ,65.0 ,76.5 ,,,,,
AT1G03620,0.0 ,5.5 ,0.0 ,,,,,
AT1G03630,18.4 ,17.4 ,17.8 ,,,,,
AT1G03640,0.0 ,0.0 ,0.0 ,,,,,
AT1G03650,12.1 ,12.7 ,14.0 ,,,,,
AT1G03660,2.6 ,4.6 ,7.8 ,,,,,
AT1G03670,0.0 ,0.0 ,0.0 ,,,,,
AT1G03680,42.8 ,60.9 ,52.2 ,,,,,
AT1G03687,88.2 ,77.7 ,72.3 ,,,,,
AT1G03700,0.0 ,0.0 ,0.0 ,,,,,
AT1G03710,164.4 ,170.8 ,156.6 ,,,,,
AT1G03720,0.0 ,0.0 ,0.0 ,,,,,
AT1G03730,6.8 ,5.2 ,4.9 ,,,,,
AT1G03740,22.6 ,19.6 ,21.6 ,,,,,
AT1G03743,0.0 ,0.0 ,0.0 ,,,,,
AT1G03746,0.0 ,0.0 ,0.0 ,,,,,
AT1G03750,2.5 ,2.0 ,2.5 ,,,,,
AT1G03760,37.9 ,37.1 ,35.6 ,,,,,
AT1G03770,0.0 ,0.0 ,0.0 ,,,,,
AT1G03780,9.3 ,13.3 ,12.2 ,,,,,
AT1G03790,0.0 ,0.0 ,0.0 ,,,,,
AT1G03800,0.0 ,0.0 ,0.0 ,,,,,
AT1G03810,0.0 ,0.0 ,0.0 ,,,,,
AT1G03820,0.0 ,0.0 ,0.0 ,,,,,
AT1G03830,29.7 ,25.4 ,27.4 ,,,,,
AT1G03840,0.0 ,0.0 ,0.0 ,,,,,
AT1G03850,0.0 ,0.0 ,0.0 ,,,,,
AT1G03860,284.1 ,323.8 ,283.3 ,,,,,
AT1G03870,0.0 ,0.0 ,0.0 ,,,,,
AT1G03880,0.0 ,0.0 ,0.0 ,,,,,
AT1G03890,0.0 ,0.0 ,0.0 ,,,,,
AT1G03900,61.4 ,59.5 ,52.1 ,,,,,
AT1G03905,6.6 ,4.4 ,4.2 ,,,,,
AT1G03910,40.8 ,51.0 ,35.7 ,,,,,
AT1G03920,96.5 ,93.0 ,90.8 ,,,,,
AT1G03930,0.1 ,5.1 ,0.0 ,,,,,
AT1G03935,0.0 ,0.0 ,0.0 ,,,,,
AT1G03940,0.0 ,0.0 ,0.8 ,,,,,
AT1G03950,0.0 ,0.0 ,0.0 ,,,,,
AT1G03960,20.9 ,16.9 ,20.6 ,,,,,
AT1G03970,8.4 ,19.0 ,15.0 ,,,,,
AT1G03980,10.5 ,8.8 ,8.8 ,,,,,
AT1G03982,0.0 ,0.0 ,0.0 ,,,,,
AT1G03990,0.0 ,0.0 ,0.0 ,,,,,
AT1G04000,13.3 ,10.5 ,14.5 ,,,,,
AT1G04010,20.6 ,19.4 ,21.2 ,,,,,
AT1G04020,11.2 ,21.6 ,10.7 ,,,,,
AT1G04030,131.9 ,109.3 ,138.7 ,,,,,
AT1G04040,6.5 ,3.6 ,5.8 ,,,,,
AT1G04050,18.5 ,18.4 ,21.0 ,,,,,
AT1G04070,83.2 ,65.0 ,73.8 ,,,,,
AT1G04080,78.4 ,81.4 ,84.9 ,,,,,
AT1G04090,7.6 ,7.8 ,7.5 ,,,,,
AT1G04100,4.7 ,29.7 ,5.1 ,,,,,
AT1G04110,0.0 ,0.0 ,0.0 ,,,,,
AT1G04120,16.8 ,13.5 ,15.7 ,,,,,
AT1G04130,40.7 ,45.2 ,41.3 ,,,,,
AT1G04140,29.8 ,29.8 ,27.9 ,,,,,
AT1G04150,0.2 ,0.1 ,0.5 ,,,,,
AT1G04160,6.9 ,8.4 ,13.0 ,,,,,
AT1G04170,119.5 ,132.0 ,126.0 ,,,,,
AT1G04171,0.0 ,0.0 ,0.0 ,,,,,
AT1G04180,9.8 ,7.8 ,8.5 ,,,,,
AT1G04190,93.4 ,79.7 ,96.2 ,,,,,
AT1G04200,17.8 ,16.6 ,17.2 ,,,,,
AT1G04210,9.0 ,11.4 ,11.6 ,,,,,
AT1G04220,0.0 ,0.0 ,0.0 ,,,,,
AT1G04230,52.5 ,56.4 ,52.7 ,,,,,
AT1G04240,5.0 ,3.8 ,4.5 ,,,,,
AT1G04250,0.0 ,0.0 ,0.0 ,,,,,
AT1G04260,38.8 ,41.2 ,30.5 ,,,,,
AT1G04270,446.3 ,474.8 ,495.4 ,,,,,
AT1G04280,1.0 ,0.9 ,6.4 ,,,,,
AT1G04290,26.4 ,23.1 ,32.1 ,,,,,
AT1G04295,0.0 ,0.0 ,0.0 ,,,,,
AT1G04300,19.1 ,30.1 ,20.4 ,,,,,
AT1G04310,11.0 ,11.2 ,12.4 ,,,,,
AT1G04320,0.0 ,0.0 ,0.0 ,,,,,
AT1G04330,0.0 ,0.0 ,0.0 ,,,,,
AT1G04340,115.8 ,126.6 ,130.0 ,,,,,
AT1G04350,5.7 ,3.9 ,4.3 ,,,,,
AT1G04360,6.3 ,6.7 ,7.1 ,,,,,
AT1G04370,7.1 ,7.0 ,5.8 ,,,,,
AT1G04380,0.0 ,0.0 ,0.1 ,,,,,
AT1G04390,0.0 ,0.0 ,0.4 ,,,,,
AT1G04400,19.0 ,16.2 ,18.2 ,,,,,
AT1G04410,408.3 ,387.8 ,377.3 ,,,,,
AT1G04420,31.2 ,26.2 ,27.8 ,,,,,
AT1G04425,5.0 ,4.6 ,6.3 ,,,,,
AT1G04430,23.5 ,21.6 ,23.9 ,,,,,
AT1G04440,14.4 ,12.2 ,16.2 ,,,,,
AT1G04445,0.0 ,0.3 ,0.0 ,,,,,
AT1G04450,0.0 ,0.0 ,0.0 ,,,,,
AT1G04470,0.0 ,0.0 ,0.0 ,,,,,
AT1G04480,310.8 ,305.8 ,341.1 ,,,,,
AT1G04490,0.0 ,0.0 ,0.0 ,,,,,
AT1G04500,0.0 ,0.0 ,0.0 ,,,,,
AT1G04501,0.0 ,0.0 ,0.0 ,,,,,
AT1G04510,115.3 ,103.5 ,120.2 ,,,,,
AT1G04520,0.5 ,0.3 ,2.7 ,,,,,
AT1G04530,37.9 ,41.7 ,39.5 ,,,,,
AT1G04540,0.0 ,0.0 ,0.0 ,,,,,
AT1G04550,0.0 ,0.0 ,1.4 ,,,,,
AT1G04555,5.1 ,5.5 ,6.8 ,,,,,
AT1G04560,0.0 ,0.0 ,0.0 ,,,,,
AT1G04570,0.0 ,4.9 ,1.9 ,,,,,
AT1G04580,0.0 ,0.0 ,0.0 ,,,,,
AT1G04590,74.1 ,96.3 ,73.3 ,,,,,
AT1G04600,3.8 ,4.6 ,4.6 ,,,,,
AT1G04610,9.7 ,8.3 ,8.1 ,,,,,
AT1G04620,0.6 ,0.7 ,1.1 ,,,,,
AT1G04625,0.0 ,0.0 ,0.0 ,,,,,
AT1G04630,130.9 ,148.7 ,122.8 ,,,,,
AT1G04635,42.1 ,35.1 ,44.2 ,,,,,
AT1G04640,7.0 ,7.1 ,6.2 ,,,,,
AT1G04645,333.2 ,361.9 ,462.7 ,,,,,
AT1G04650,13.7 ,11.9 ,14.4 ,,,,,
AT1G04660,0.0 ,0.0 ,0.0 ,,,,,
AT1G04670,0.0 ,0.0 ,0.0 ,,,,,
AT1G04680,0.0 ,0.0 ,0.0 ,,,,,
AT1G04684,0.0 ,0.0 ,0.0 ,,,,,
AT1G04690,139.1 ,125.6 ,123.8 ,,,,,
AT1G04700,3.8 ,3.5 ,3.5 ,,,,,
AT1G04710,11.6 ,20.6 ,10.8 ,,,,,
AT1G04720,0.0 ,0.0 ,0.0 ,,,,,
AT1G04730,9.9 ,8.9 ,9.0 ,,,,,
AT1G04750,244.1 ,231.3 ,249.3 ,,,,,
AT1G04760,41.1 ,35.8 ,41.8 ,,,,,
AT1G04770,0.0 ,0.0 ,0.0 ,,,,,
AT1G04778,0.0 ,0.0 ,0.0 ,,,,,
AT1G04780,0.0 ,0.0 ,1.9 ,,,,,
AT1G04790,31.2 ,28.5 ,27.0 ,,,,,
AT1G04800,0.0 ,0.0 ,0.0 ,,,,,
AT1G04810,33.4 ,41.4 ,31.5 ,,,,,
AT1G04820,1018.0 ,950.2 ,928.8 ,,,,,
AT1G04830,45.9 ,49.6 ,40.8 ,,,,,
AT1G04840,0.0 ,0.0 ,0.0 ,,,,,
AT1G04850,156.2 ,160.9 ,154.2 ,,,,,
AT1G04860,39.5 ,35.5 ,34.2 ,,,,,
AT1G04870,140.9 ,133.7 ,137.9 ,,,,,
AT1G04880,0.0 ,3.3 ,0.0 ,,,,,
AT1G04890,0.0 ,0.0 ,0.0 ,,,,,
AT1G04900,12.0 ,10.6 ,17.3 ,,,,,
AT1G04910,11.6 ,18.1 ,14.2 ,,,,,
AT1G04920,0.0 ,0.0 ,0.0 ,,,,,
AT1G04930,8.1 ,7.6 ,11.7 ,,,,,
AT1G04940,102.9 ,92.8 ,102.4 ,,,,,
AT1G04945,21.8 ,22.8 ,24.3 ,,,,,
AT1G04950,28.5 ,29.0 ,31.6 ,,,,,
AT1G04960,25.4 ,20.8 ,25.9 ,,,,,
AT1G04970,28.8 ,32.0 ,25.1 ,,,,,
AT1G04980,26.8 ,29.6 ,30.8 ,,,,,
AT1G04985,59.6 ,57.3 ,60.6 ,,,,,
AT1G04990,22.7 ,25.9 ,24.4 ,,,,,
AT1G05000,0.0 ,0.0 ,0.0 ,,,,,
AT1G05010,0.0 ,0.0 ,0.0 ,,,,,
